,full_title,title_shown,book_url,rating,price,availability
173,Maybe Something Beautiful: How Art Transformed a Neighborhood,Maybe Something Beautiful: How ...,https://books.toscrape.com/catalogue/maybe-something-beautiful-how-art-transformed-a-neighborhood_386/index.html,One,£22.54,In stock
174,The Wild Robot,The Wild Robot,https://books.toscrape.com/catalogue/the-wild-robot_288/index.html,Three,£56.07,In stock
175,The Thing About Jellyfish,The Thing About Jellyfish,https://books.toscrape.com/catalogue/the-thing-about-jellyfish_283/index.html,One,£48.77,In stock
176,The Lonely Ones,The Lonely Ones,https://books.toscrape.com/catalogue/the-lonely-ones_261/index.html,Five,£43.59,In stock
177,The Day the Crayons Came Home (Crayons),The Day the Crayons ...,https://books.toscrape.com/catalogue/the-day-the-crayons-came-home-crayons_241/index.html,Five,£26.33,In stock
178,"Don't Be a Jerk: And Other Practical Advice from Dogen, Japan's Greatest Zen Master",Don't Be a Jerk: ...,https://books.toscrape.com/catalogue/dont-be-a-jerk-and-other-practical-advice-from-dogen-japans-greatest-zen-master_890/index.html,Two,£37.97,In stock
179,You Are What You Love: The Spiritual Power of Habit,You Are What You ...,https://books.toscrape.com/catalogue/you-are-what-you-love-the-spiritual-power-of-habit_872/index.html,Four,£21.87,In stock
180,God: The Most Unpleasant Character in All Fiction,God: The Most Unpleasant ...,https://books.toscrape.com/catalogue/god-the-most-unpleasant-character-in-all-fiction_697/index.html,Five,£30.03,In stock
181,The Book of Mormon,The Book of Mormon,https://books.toscrape.com/catalogue/the-book-of-mormon_571/index.html,Three,£24.57,In stock
182,"A History of God: The 4,000-Year Quest of Judaism, Christianity, and Islam",A History of God: ...,https://books.toscrape.com/catalogue/a-history-of-god-the-4000-year-quest-of-judaism-christianity-and-islam_310/index.html,One,£27.62,In stock
183,The Bhagavad Gita,The Bhagavad Gita,https://books.toscrape.com/catalogue/the-bhagavad-gita_60/index.html,Three,£57.49,In stock
184,Choosing Our Religion: The Spiritual Lives of America's Nones,Choosing Our Religion: The ...,https://books.toscrape.com/catalogue/choosing-our-religion-the-spiritual-lives-of-americas-nones_14/index.html,Four,£28.42,In stock
